epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.798,2.13223,4.16234,2.24801,0.00293,0.69917,0.14108,0.03624,2.32767,3.8182,3.26118,0.000406977,0.000406977,0.000406977
2,1018.14,1.97236,3.35114,2.068,0.56008,0.43361,0.34909,0.10087,2.137,3.56966,2.88343,0.000810053,0.000810053,0.000810053
3,1479.75,1.95742,3.09443,2.00917,0.48106,0.22522,0.21892,0.06108,2.39297,3.93128,2.79387,0.00119938,0.00119938,0.00119938
4,2001.59,1.97348,2.95023,2.07907,0.06917,0.25205,0.08201,0.01995,2.6593,5.00945,2.92056,0.00118812,0.00118812,0.00118812
5,2521.92,1.95171,2.79757,2.04039,0.19822,0.51691,0.20302,0.06532,2.13153,5.46402,2.49345,0.0011675,0.0011675,0.0011675
6,3051.11,1.95988,2.57619,2.06592,0.36557,0.45717,0.41776,0.14573,2.07738,4.09282,2.32199,0.00114688,0.00114688,0.00114688
7,3555.23,1.92324,2.41862,1.99679,0.36424,0.56265,0.43416,0.13432,2.17487,4.60458,2.75826,0.00112625,0.00112625,0.00112625
8,4009.61,1.90402,2.34035,2.02512,0.4206,0.6946,0.57486,0.20017,2.01505,2.30061,2.35767,0.00110563,0.00110563,0.00110563
9,4520.63,1.87207,2.22743,2.00876,0.45932,0.61183,0.5539,0.19357,2.03866,1.86135,2.28265,0.001085,0.001085,0.001085
10,5043.24,1.85713,2.11597,1.98198,0.49122,0.54815,0.44639,0.14193,2.13877,2.13113,2.3479,0.00106437,0.00106437,0.00106437
11,5566.87,1.81683,2.03872,1.94256,0.53799,0.62756,0.59925,0.21134,2.07583,1.70535,2.18113,0.00104375,0.00104375,0.00104375
12,6051.3,1.81745,2.08287,1.9354,0.64701,0.715,0.71539,0.26416,1.94674,1.60408,2.20809,0.00102312,0.00102312,0.00102312
13,6522.18,1.78822,1.95701,1.95596,0.6408,0.70842,0.70172,0.26386,1.99408,1.70008,2.29063,0.0010025,0.0010025,0.0010025
14,6998.2,1.77864,1.96184,1.91748,0.54133,0.71816,0.59815,0.22902,1.97287,1.57832,2.13647,0.000981875,0.000981875,0.000981875
15,7486.43,1.79894,1.89404,1.91973,0.72494,0.73066,0.75798,0.28943,1.97757,1.42138,2.10899,0.00096125,0.00096125,0.00096125
16,8011.68,1.74766,1.7937,1.87269,0.58144,0.67944,0.69568,0.27388,1.97602,1.57024,2.19827,0.000940625,0.000940625,0.000940625
17,8529.5,1.79069,1.7937,1.90517,0.63308,0.68872,0.72306,0.27558,1.89506,1.60287,2.11745,0.00092,0.00092,0.00092
18,9049.15,1.72512,1.74944,1.88115,0.60924,0.72133,0.65843,0.26776,1.99657,1.51123,2.19128,0.000899375,0.000899375,0.000899375
19,9577.88,1.74911,1.75183,1.86482,0.55492,0.73635,0.65741,0.26325,1.94153,1.50778,2.12872,0.00087875,0.00087875,0.00087875
20,10072.6,1.721,1.71762,1.85001,0.61719,0.71215,0.72254,0.29541,1.96728,1.39814,2.13293,0.000858125,0.000858125,0.000858125
21,10530,1.69394,1.65086,1.82365,0.67538,0.68854,0.72117,0.29123,1.93337,1.38575,2.16417,0.0008375,0.0008375,0.0008375
22,11044.7,1.72249,1.6646,1.85939,0.64738,0.74598,0.7521,0.29736,1.96554,1.36703,2.13072,0.000816875,0.000816875,0.000816875
23,11562.9,1.7054,1.68128,1.82621,0.73312,0.71457,0.76851,0.31529,1.87986,1.41176,2.06091,0.00079625,0.00079625,0.00079625
24,12030.8,1.67605,1.60755,1.80934,0.64321,0.78877,0.75087,0.30229,1.95777,1.30644,2.08888,0.000775625,0.000775625,0.000775625
25,12540.8,1.68362,1.57458,1.80395,0.73956,0.72274,0.78405,0.31355,1.94955,1.31216,2.09116,0.000755,0.000755,0.000755
26,13053.3,1.65782,1.54685,1.76656,0.65432,0.72517,0.76078,0.32792,1.90088,1.3883,2.07859,0.000734375,0.000734375,0.000734375
27,13575.5,1.63222,1.53375,1.78838,0.68651,0.78858,0.74604,0.31234,1.91697,1.29945,2.05339,0.00071375,0.00071375,0.00071375
28,14103.1,1.65697,1.52564,1.79544,0.75933,0.74257,0.81517,0.32532,1.92102,1.23141,2.10232,0.000693125,0.000693125,0.000693125
29,14633.9,1.63816,1.52096,1.79433,0.68084,0.80015,0.73875,0.31295,1.90646,1.3316,2.11626,0.0006725,0.0006725,0.0006725
30,15164.8,1.64164,1.51064,1.7787,0.77984,0.78268,0.81006,0.33478,1.92827,1.22036,2.08935,0.000651875,0.000651875,0.000651875
31,15675.4,1.6414,1.49495,1.76498,0.75246,0.81045,0.80865,0.33258,1.95791,1.20355,2.08468,0.00063125,0.00063125,0.00063125
32,16202.4,1.63125,1.46931,1.76416,0.71419,0.78783,0.76775,0.31143,1.99039,1.26182,2.1414,0.000610625,0.000610625,0.000610625
33,16727.5,1.59467,1.43581,1.75506,0.69023,0.76279,0.76695,0.32597,1.9382,1.24184,2.13426,0.00059,0.00059,0.00059
34,17245.6,1.60216,1.42416,1.75349,0.72212,0.83131,0.78508,0.33893,1.93727,1.2145,2.11101,0.000569375,0.000569375,0.000569375
35,17778.6,1.63118,1.42854,1.75227,0.73023,0.79482,0.76334,0.33499,1.90307,1.20371,2.02894,0.00054875,0.00054875,0.00054875
36,18300.5,1.59903,1.40211,1.757,0.7303,0.78934,0.76928,0.32305,1.94334,1.18942,2.08736,0.000528125,0.000528125,0.000528125
37,18810.4,1.57218,1.36869,1.72868,0.77122,0.78925,0.7828,0.33626,1.9241,1.13528,2.05098,0.0005075,0.0005075,0.0005075
38,19339,1.5995,1.35204,1.73881,0.74544,0.81307,0.81471,0.37211,1.88053,1.17204,2.06051,0.000486875,0.000486875,0.000486875
39,19863.6,1.55093,1.32841,1.72732,0.72978,0.76649,0.76149,0.33755,1.91546,1.16604,2.06819,0.00046625,0.00046625,0.00046625
40,20389,1.54271,1.33528,1.7059,0.71324,0.80397,0.78632,0.33599,1.93699,1.14588,2.09874,0.000445625,0.000445625,0.000445625
41,20910.7,1.5351,1.32277,1.69732,0.70342,0.80239,0.76939,0.35232,1.90441,1.1317,2.0496,0.000425,0.000425,0.000425
42,21469.6,1.5533,1.30282,1.69683,0.77741,0.78287,0.80628,0.33916,1.95678,1.15854,2.14692,0.000404375,0.000404375,0.000404375
43,21973.9,1.53272,1.29836,1.69793,0.74804,0.81864,0.79049,0.34739,1.91374,1.10973,2.06954,0.00038375,0.00038375,0.00038375
44,22500.4,1.51307,1.29298,1.66881,0.77218,0.83692,0.81185,0.36963,1.90123,1.06412,2.05479,0.000363125,0.000363125,0.000363125
45,23049.7,1.50315,1.25372,1.66327,0.79751,0.80122,0.80905,0.36924,1.87646,1.11021,2.02389,0.0003425,0.0003425,0.0003425
46,23565.5,1.45698,1.25555,1.64,0.75333,0.80664,0.79246,0.35703,1.87165,1.12474,2.04814,0.000321875,0.000321875,0.000321875
47,24033.1,1.46189,1.22757,1.63808,0.75603,0.85826,0.81324,0.37637,1.8882,1.07272,2.03811,0.00030125,0.00030125,0.00030125
48,24521.7,1.46615,1.20966,1.64763,0.74579,0.881,0.82537,0.37547,1.8733,1.06915,2.02695,0.000280625,0.000280625,0.000280625
49,25005,1.44871,1.20061,1.6292,0.80894,0.80845,0.82542,0.37201,1.83899,1.10209,2.00556,0.00026,0.00026,0.00026
50,25533.7,1.43715,1.19808,1.64077,0.76903,0.86222,0.83498,0.37746,1.90715,1.05752,2.05619,0.000239375,0.000239375,0.000239375
51,26066.8,1.45322,0.97637,1.69975,0.7858,0.84698,0.82796,0.37945,1.91862,1.05868,2.10248,0.00021875,0.00021875,0.00021875
52,26617.8,1.41666,0.93049,1.6754,0.7347,0.83655,0.79542,0.35908,1.89572,1.0906,2.10778,0.000198125,0.000198125,0.000198125
53,27087.1,1.40582,0.91344,1.67935,0.77266,0.86294,0.83619,0.37864,1.94496,1.04913,2.07364,0.0001775,0.0001775,0.0001775
